Name,Bibcode,Type,ET,P,dPdt,Pc,BibcodeP,Solver,q,QT,i,a,Omega,f,r1p,r2p,T1,T2,M1,M2,R1,R2,L1,L2,L3,d,Age,Spots
1SWASP J151144.56+165426.4,2019MNRAS.485.4588L,W,1,0.219865,,,,WD,0.409,PH,82.9,,2.65,0.186337,0.439452,0.293211,4425,4427,,,,,,,0,,,0
1SWASP J155822.10-025604.8,2016AJ....152...57D,A,0,0.2600776,,,,DC,0.65,PH,78.3,2.2,3.1264,0.073877,0.396485,0.324943,6200,5970,1.3,0.8,0.94,0.77,1.172,0.676,0,,,1
1SWASP J160156.04+202821.6,2014A&A...563A..34L,A,0,0.22652935,,,,PHOEBE,0.67,SP,79.5,1.76,3.14,0.129425,0.397246,0.330768,4500,4500,0.86,0.57,0.75,0.63,0.207,0.146,0,,,1
1SWASP J161858.05+261303.5,2020AJ....159..189L,W,0,0.228781,-0.023328,,,WD,0.597,PH,50.8,1.62,3.044,0.039871,0.401605,0.316042,4400,4578,0.68,0.4,0.69,0.54,0.23,0.14,1,,6.663,1
1SWASP J173828.46+111150.2,2015RAA....15.1493K,A,0,0.249383,,,,PHOEBE,0.488,PH,66.85,,2.843,0.033237,0.417931,0.29956,4900,4544,,,,,,,1,,,1
1SWASP J200059.78+054408.9,2018Ap&SS.363...15L,W,0,0.20569054,,,,WD,0.436,PH,75.3,,2.595757,0.583808,0.454687,0.319968,4528,4800,,,,,,,0,,,1
1SWASP J200503.05-343726.5,2017NewA...54...52B,W,0,0.228884218,0.004692,,,WD,0.934,PH,73.75,,3.59575,0.090442,0.367779,0.356425,4270,4500,,,,,,,0,,,1
1SWASP J210318.76+021002.2,2014NewA...32...10E,A,0,0.22859,,,,WD,0.877,PH,81.9,2.024,3.38,0.343468,0.39017,0.368461,5850,5778,1.135,0.995,1.231,1.202,1.59,1.422,0,,,1
1SWASP J212808.86+151622.0,2016AJ....152...57D,W,0,0.2248416,,,,DC,0.4,PH,72.7,1.5,2.65,0.115154,0.437907,0.287967,4350,4800,0.7,0.26,0.7,0.47,0.158,0.105,0,,11.602,1
1SWASP J213252.93-441822.6,2018Ap&SS.363...15L,W,0,0.22123459,,,,WD,0.56,PH,81.9,,2.942976,0.141761,0.412358,0.31655,4671,4700,,,,,,,0,,,1
1SWASP J220235.74+311909.7,2019MNRAS.485.4588L,W,1,0.220477,,,,WD,0.381,PH,84.5,,2.584,0.236072,0.447189,0.289942,4967,5075,,,,,,,1,,,1
1SWASP J222514.69+361643.0,2017NewA...56...50E,A,0,0.224734,,,,PHOEBE,0.435,PH,53,1.66,2.6,0.564519,0.453747,0.318745,5010,4800,0.8466,0.3682,0.9426,0.8657,0.502,0.356,0,,9.783,1
2MASS J00570305+5541588,2013RAA....13.1052F,A,0,0.44035,,,,WD,0.493,PH,52.67,,2.823,0.133524,0.422152,0.305611,6022,5866,,,,,,,0,,,0
2MASS J00580602+5541451,2013RAA....13.1052F,A,0,0.27423,,,,WD,0.893,PH,58.63,,3.5241,0.100836,0.372138,0.353284,4593,4450,,,,,,,0,,,0
2MASS J02272637+1156494,2015AJ....149..111L,W,1,0.21095,,,,WD,0.481,PH,82.4,1.349,2.808125,0.106063,0.422778,0.302134,3664,3700,0.5,0.24,,,,,0,,,1
2MASS J02322600+5726420,2017NewA...52...29L,A,0,0.30752,,,,WD,0.19,PH,65.15,,2.146,0.507581,0.505954,0.246717,4925,4770,,,,,,,0,,,1
2MASS J02342291+5725468,2017NewA...52...29L,A,1,0.40032,,,,WD,0.3,PH,81.4,,2.408,0.311278,0.4681,0.274317,5388,5302,,,,,,,0,,,0
2MASS J03334546+5125596,2012RAA....12...93F,A,0,0.691363,,,,WD,0.286,PH,61.47,,2.3826,0.29339,0.470844,0.269781,5250,4935,,,,,,,0,,,1
2MASS J06404718-8815211,2018AJ....155..168L,A,0,0.4386203,,,,WD,0.301,PH,72.8,2.859,2.418,0.268791,0.46616,0.272711,6397,6327,1.25,0.38,1.44,0.85,3.12,1.038,0,,4.06,0
2MASS J07070311+1259585,2017NewA...56...10G,W,0,0.2269551,,,,WD,0.769,PH,69.79,1.763,3.342308,0.05006,0.381167,0.337468,4967,5100,0.807,0.621,0.71,0.634,0.339,0.27,0,,,0
2MASS J08461143-8833427,2014ApJS..212....4Q,W,0,0.267127,,2.05,,WD,0.89,PH,73.4,,3.515587,0.108243,0.372901,0.353489,4352,4616,,,,,,,0,,,1
2MASS J11201034-2201340,2016AJ....151..170H,W,1,0.28876208,,,,WD,0.317,PH,88.5,,2.4735,0.152327,0.457614,0.271643,4960,5124,,,,,,,0,,,1
2MASS J19090585+4911585,2009AN....330..504R,W,0,0.288374,,,,PHOEBE,0.927,PH,79.13,,3.550973,0.155018,0.372778,0.360124,4683,5800,,,,,,,0,,,0
2MASS J20004638+0547475,2017NewA...53...35D,A,0,0.286476,,,,PHOEBE,0.45,PH,81.9,2.05,2.5908,0.693897,0.458446,0.329713,5392,5170,0.968,0.441,1.048,0.972,0.834,0.606,0,,7.119,1
2MASS J20034981+4411085,2016RAA....16...63J,A,0,0.366709,,,,WD,0.769,PH,63.5,2.804,3.271538,0.212532,0.391357,0.347808,5173,5160,1.24,0.96,1.24,1.11,1.55,1.25,0,,,1
2MASS J20040017+4414033,2016RAA....16...63J,W,0,0.41511,,,,WD,0.5,PH,68.4,2.779,2.732524,0.48,0.439599,0.326396,4805,5026,1.2,0.47,1.22,0.81,1.62,0.72,0,,4.599,1
44 Boo,1989A&A...211...81H,A,0,0.26781172,,,,LIGHT2,0.559,SP,72.8,2.015,2.986941,0,0.405,0.308529,5300,5035,0.98,0.55,0.87,0.66,0.513,0.24,0,,,0
AA UMa,2011PASP..123...34L,W,0,0.4681348,0.004044,28.2,,WD,0.551,SP,79.61,3.44,2.925511,0.143285,0.413803,0.315229,5920,5964,1.61,0.89,1.53,1.17,2.57,1.55,0,351,2.749,1
AB And,2014NewA...30...64L,W,0,0.33189106,0.012614,98.3,,WD,0.56,SP,83.16,2.367,2.905991,0.252173,0.4185,0.322843,5020,5450,1.034,0.579,1.151,0.822,0.77,0.534,0,,4.452,1
AC Boo,2010IBVS.5951....1N,W,1,0.352432,0.072835,,,WD,0.299,SP,86.3,2.43,2.456287,0.046157,0.457862,0.262897,6241,6250,1.2,0.36,1.19,0.69,1.94,0.65,1,182,4.134,1
AD Cnc,2007ApJ...671..811Q,W,0,0.2827291,0.042682,16.2,,WD,0.77,PH,65.9,,3.326656,0.090568,0.383534,0.340121,4794,5000,,,,,,,1,,,1
AD Phe,2017AJ....154..260P,A,0,0.37992361,,56.2,,WD,0.376,SP,76.05,2.46,2.591,0.163683,0.444945,0.285411,6155,5835,1.004,0.378,1.17,0.76,1.764,0.601,0,,6.27,0
AE Phe,2009AJ....138.1465H,W,1,0.36237307,0.005331,,,WD,0.392,PH,86.45,,2.627418,0.145704,0.440829,0.287902,6083,6310,,,,,,,0,,,0
AG Vir,2011AN....332..607P,A,1,0.64265059,,,,ROCHE,0.341,SP,84.4,4.477,2.519977,0.167,0.452628,0.277915,8150,6915,2.179,0.739,2.185,1.356,19,3.85,1,,2.252,0
AH Aur,2005AcA....55..123G,W,1,0.4941085,-0.021522,,2016PASP..128d4202Y,WD,0.165,SP,76.1,3.29,2.064,0.746272,0.521459,0.244411,6200,6418,1.674,0.283,1.897,0.837,4.729,1.09,0,,2.529,0
AH Cnc,2016RAA....16..157P,A,1,0.3604607,0.000371,35.26,,WD,0.156,PH,83.11,2.365,2.075,0.440326,0.516424,0.229942,6300,6151,1.18,0.185,1.332,0.592,2.509,0.45,0,,5.624,0
AH Tau,2015AJ....150...25X,A,1,0.332672375,-0.015751,54.62,,WD,0.511,PH,83.48,2.35,2.874,0.075295,0.416278,0.305419,5660,5633,1.04,0.53,,,,,0,,,1
AH Vir,1993AJ....106..361L,W,1,0.40752431,0.018895,37.19,2015RAA....15..275C,WD,0.303,SP,85.2,2.796,2.429422,0.23,0.464127,0.271538,5300,5671,1.36,0.412,1.397,0.826,1.86,0.634,0,94,4.622,0
AK Her,2014AJ....148..126C,A,1,0.421523,,,,DC,0.277,SP,81.7,2.73,2.3572,0.331968,0.474619,0.268929,6500,6180,1.2,0.34,1.4,0.8,3.02,0.82,1,,4.585,1
AL Cas,2014AJ....148...79Q,A,0,0.50055604,,86.6,,WD,0.61,PH,80.57,3.419,2.9418,0.392869,0.420266,0.338941,6400,6316,1.33,0.81,,,,,0,,,0
AL Lep,2005Ap&SS.300..329W,A,1,0.44864,,,,WD,0.12,PH,73.8,,1.97,0.627088,0.536408,0.217091,6008,5907,,,,,,,0,,,0
AM Leo,2016AstBu..71...64G,W,1,0.3658005,,,,WD,0.44,SP,89,2.6,2.699,0.224054,0.435614,0.30107,5942,6273,1.23,0.54,1.22,0.85,1.666,1.004,1,,3.846,1
AO Aqr,2015NewA...41....1U,A,1,0.489352,,,,PHOEBE,0.288,PH,79.4,3.1,2.31,0.719518,0.487537,0.289873,5750,5708,1.19,0.34,1.64,0.9,2.62,0.7,0,,5.178,0
AO Cam,2004AcA....54..195B,W,0,0.32990441,-0.010886,7.63,2010AJ....139..195Y,WD,0.435,SP,76,2.353,2.702174,0.17497,0.434149,0.297572,5590,6200,1.119,0.486,1.092,0.732,1.045,0.711,0,,4.809,1
AP Aur,2001AJ....121.1091L,A,0,0.56936897,0.070299,,,WD,0.246,PH,75.95,,2.243,0.645158,0.494399,0.272764,9016,8703,,,,,,,0,,,1
AP Leo,2003A&A...412..465K,W,1,0.43035716,,,,WD,0.297,SP,78,2.968,2.434,0.138093,0.462025,0.266098,6150,6250,1.46,0.434,1.477,0.817,2.802,0.914,0,,3.498,0
AP UMi,2016JKAS...49...65H,A,0,0.2582867,,,,PHOEBE,0.386,PH,81.3,,2.604,0.19226,0.4442,0.288862,4500,3865,,,,,,,0,,,1
AQ Boo,2016NewA...48...42W,W,0,0.3331399,-0.012701,,,WD,0.455,PH,71.9,2.46,2.747727,0.144793,0.42918,0.29962,5315,5759,1.24,0.56,,,,,0,,,0
AQ Com,2014NewA...32...31L,W,0,0.28133036,,8.5,,WD,0.35,PH,78.73,,2.527446,0.213737,0.452711,0.282019,4911,5300,,,,,,,0,,,1
AQ Psc,2011MNRAS.412.1787D,A,0,0.47560744,,23.9,2020MNRAS.491.6065Z,WD,0.226,SP,69.06,3.253,2.253,0.301475,0.487833,0.252135,6250,6024,1.661,0.375,1.708,0.891,3.987,0.937,1,,4.36,0
AQ Tuc,2001CoSka..31....5C,W,0,0.5948421,,,,WD,0.354,SP,75.89,,2.5028,0.36645,0.458503,0.290295,6900,7048,,,2.03,1.3,8.386,3.744,0,,,0
AR Boo,2019NewA...66...14H,W,0,0.34487296,0.017626,29.05,,WD,0.536,PH,76.07,,2.90429,0.127355,0.415098,0.312138,5100,5307,,,,,,,0,,,1
AS CrB,2017NewA...51....1L,A,1,0.38065963,0.029894,,,WD,0.172,PH,78.4,2.507,2.0961,0.592421,0.514625,0.242186,6500,6498,1.25,0.21,1.4,0.67,3.2,0.72,0,459,4.219,0
ASAS J000709+2621.5,2014IBVS.6113....1K,A,0,0.4034,,,,PHOEBE,0.953,PH,61.3,,3.595,0.149861,0.370196,0.362183,5940,5673,,,,,,,0,,,0
ASAS J002821-1453.3,2016NewA...44...40G,W,1,0.40266,,,,PHOEBE,0.173,PH,78.2,2.662,2.12,0.39735,0.508698,0.235944,6540,6593,1.33,0.23,1.49,0.6,3.7,0.7,0,,3.263,0
ASAS J012450-3241.4,2016NewA...44...40G,A,1,0.308971,,,,PHOEBE,0.377,PH,81.8,1.978,2.6,0.133313,0.443389,0.284187,5186,5164,0.79,0.298,0.96,0.58,0.59,0.21,0,,13.123,0
ASAS J024155-2507.8,2016NewA...44...40G,A,0,0.400889,,,,PHOEBE,0.45,PH,80.8,2.56,2.76,0.067892,0.426251,0.294919,5746,5537,0.97,0.43,1.18,0.77,1.37,0.5,0,,8.322,0
ASAS J025115-2525.4,2016NewA...46...94S,A,1,0.559267,,,,PHOEBE,0.107,PH,74.4,3.513,1.974,0.092195,0.532046,0.195915,7400,6570,1.68,0.18,2.07,0.7,11.05,0.8,0,,3.799,0
ASAS J035020-8017.4,2016NewA...46...94S,A,1,0.622401,,,,PHOEBE,0.232,PH,78.6,3.278,2.26,0.344009,0.487458,0.255738,5790,5675,0.99,0.23,1.76,0.87,3.14,0.7,0,,4.412,0
ASAS J035803+0620.5,2016NewA...46...94S,A,0,0.825134,,,,PHOEBE,0.12,PH,74.4,4.257,1.944,0.960428,0.543897,0.226931,6044,5594,1.36,0.16,2.45,1.1,7.19,0.9,0,,3.448,0
ASAS J040633-4729.4,2016NewA...46...94S,A,1,0.406365,,,,PHOEBE,0.136,PH,75.6,2.649,2.036,0.323926,0.522073,0.216995,6556,6554,1.33,0.18,1.54,0.6,3.675,0.56,0,,4.811,0
ASAS J050334-2521.9,2016NewA...44...40G,A,1,0.41406,,,,PHOEBE,0.133,PH,83.3,2.633,2.01,0.534979,0.528427,0.221599,6347,5925,1.26,0.168,1.54,0.6,3.45,0.4,0,,5.951,0
ASAS J051353-1701.2,2016NewA...44...40G,A,0,0.34183617,,,,PHOEBE,0.52,PH,70.3,2.274,2.81,0.336573,0.428801,0.321392,5419,5086,0.89,0.46,1.07,0.8,0.9,0.3,0,,,0
ASAS J063546+1928.6,2018AJ....155..172S,A,1,0.4755259,,8.66,,PHOEBE,0.154,PH,77.89,2.882,2.0484,0.671041,0.523149,0.236763,6350,6238,1.23,0.19,1.184,0.19,2.046,0.049,0,,,0
ASAS J071829-0336.7,2018PASA...35....8K,A,0,0.2112594,,,,PHOEBE,0.83,PH,76.4,1.48,3.43,0.081875,0.376885,0.345844,4025,3967,0.53,0.44,0.6,0.55,0.84,0.067,0,,,0
ASAS J082243+1927.0,2015MNRAS.446..510K,W,1,0.28,,,,WD,0.106,PH,76.58,1.951,1.9238,0.775584,0.546217,0.212572,5960,6078,1.1,0.17,1.15,0.42,1.66,0.22,0,,6.966,1
ASAS J083241+2332.4,2016AJ....151...69S,W,1,0.311321,0.076464,8.25,,WD,0.065,PH,82.7,2.11,1.8229,0.510694,0.566199,0.17592,6300,6667,1.22,0.08,1.34,0.42,2.66,0.25,0,548,5.458,1
ASAS J102556+2049.3,2018AJ....156...77K,A,1,0.284976,-0.292896,,,PHOEBE,0.131,PH,80.62,1.963,2.03007,0.240098,0.522476,0.212197,6000,5930,1.11,0.14,1.11,0.456,1.41,0.23,0,,8.36,1
ASAS J125340-5010.6,2016NewA...46...94S,A,0,0.404664,,,,PHOEBE,0.275,PH,74.7,2.642,2.36,0.29175,0.473605,0.266663,6350,6270,1.19,0.32,1.38,0.74,2.67,0.7,0,,5.015,0
ASAS J165139+2255.7,2018JAVSO..46....3A,W,1,0.353205,,,,PHOEBE,0.103,PH,78.07,2.2,1.928,0.599564,0.544209,0.205975,5370,5394,1.03,0.11,1.27,0.46,1.2,0.16,0,,7.854,1
ASAS J174406+2446.8,2020arXiv200309359S,W,0,0.378151051,,11.89,,WD,0.881,PH,69.85,2.574,3.502643,0.10509,0.373513,0.352419,5049,5492,0.85,0.75,,,,,0,,,1
ASAS J212236+0657.3,2020BlgAJ..32...71K,W,1,0.293945,,,,PHOEBE,0.207,PH,79.5,1.83,2.233264,0.131883,0.48851,0.239753,5423,5886,0.807,0.537,0.793,0.665,0.302,0.389,0,,4.303,1
ASAS J212319-4622.4,2018NewA...64....1L,W,0,0.296096,,,,WD,0.769,PH,61.21,2.378,3.338385,0.059066,0.381719,0.338026,5219,5454,1.162,0.894,0.967,0.857,1.406,0.926,0,,,0
ASASSN-V J023009.35+563849.7,2020MNRAS.497.3381G,A,1,0.552902,,,,WD,0.286,PH,79.4,,2.363,0.402949,0.475133,0.274555,5449,5381,,,,,,,0,,,1
AU Men,2005Ap&SS.300..329W,W,1,0.343841,,,,WD,0.457,PH,84,,2.746575,0.163239,0.429729,0.300942,5833,6383,,,,,,,0,,,0
AU Phe,1985RMxAA..10..283L,W,0,0.30666,,,,WD,0.668,PH,66.63,,3.129506,0.145747,0.398505,0.331447,4536,4780,,,,,,,0,,,0
AU Pup,1978ApJ...222..917L,A,0,1.126418,,,,WD,0.644,PH,80.99,,2.876,0.71706,0.437499,0.366257,9600,9067,,,,,,,0,,,0
AU Ser,2018IBVS.6256....1A,A,0,0.386497,-0.010195,31.36,,PHOEBE,0.692,SP,82.43,2.52,3.213,0.0406,0.389384,0.328141,5140,4986,0.85,0.59,1.04,0.88,0.675,0.427,0,164,,1
AV Pup,2019arXiv190602466H,A,0,0.4350142,0.041731,,,WD,0.896,PH,80.84,3.24,3.529,0.100752,0.37186,0.353564,6255,6150,1.27,1.14,1.29,1.23,2.29,1.94,0,,,1
AW CrB,2013MNRAS.430.3070B,W,1,0.36093537,0.030931,,,PHOEBE,0.101,PH,82.1,,1.913,0.753647,0.548168,0.208786,6700,6808,,,,,,,0,,,1
AW UMa,2016MNRAS.457..836E,A,1,0.4387242,,,,WD,0.076,SP,81.1,,1.857101,0.487,0.558373,0.184185,7410,7369,,,,,,,0,,,0
AW Vir,2004IBVS.5574....1Z,W,0,0.35399712,,,,DC,0.758,PH,82.1,,3.323712,0.047098,0.382252,0.336016,6072,6200,,,,,,,0,,,0
BB Peg,2020NewA...7801354K,W,1,0.361502127,-0.000251,35.17,,PHOEBE,0.318,SP,83.9,2.52,2.413403,0.470753,0.470516,0.286494,6121,6355,1.24,0.41,1.25,0.79,1.969,0.914,0,,3.377,1
BC Gru,1992AcA....42..103P,A,0,0.307356,,,,WD,0.565,PH,66.9,,2.99505,0.011,0.404641,0.310018,5585,5072,,,,,,,0,,,0
BD +42 2782,2007AJ....133..255L,W,0,0.37015158,,,,WD,0.482,SP,74,2.75,2.7328,0.374802,0.436482,0.316991,5850,6039,1.38,0.67,1.29,0.95,1.75,1.05,1,,3.619,1
BE Cep,2012NewA...17..347D,W,0,0.42439453,-0.004182,59.26,,WD,0.427,PH,82.2,2.54,2.71547,0.069097,0.430488,0.290922,5310,5906,0.86,0.37,,,,,0,,,0
BF Pav,2020arXiv200805068P,A,0,0.302318221,0.002667,,,PHOEBE,0.94,PH,86.75,2.294,3.584,0.131458,0.370039,0.359735,5201,5050,0.914,0.859,0.904,0.878,0.536,0.45,0,250,,1
BG Vul,2014NewA...28...79T,A,0,0.40323646,,,,PHOEBE,0.88,PH,74.48,2.845,3.33062,0.453899,0.397934,0.376894,5868,5520,1.01,0.89,1.23,1.17,1.632,1.151,0,,,0
BH Cas,2019PASP..131h4202L,W,0,0.40589171,0.028253,20.09,,WD,0.475,SP,70.91,2.593,2.783,0.155989,0.42625,0.303772,4874,5163,0.96,0.46,1.19,0.85,0.703,0.456,1,441,6.044,1
BI CVn,2014NewA...29...57N,W,0,0.38421,,,,WD,0.413,SP,71.01,2.921,2.62629,0.309188,0.444608,0.300183,6093,6170,1.61,0.66,1.4,0.96,2.44,1.19,0,,3.66,1
BI Vul,2013ApJS..209...13Q,W,0,0.25182528,-0.008208,10.8,,WD,0.964,PH,76.34,1.908,3.645323,0.088152,0.365034,0.358978,4460,4600,0.75,0.72,,,,,0,,,1
BL Eri,1996A&AS..118..453L,A,1,0.41691591,,,,WD,0.546,PH,89.8,,2.9108,0.162333,0.415525,0.315578,5980,5603,,,,,,,0,,,1
BL Leo,2013AJ....145...60Y,W,0,0.28193148,-0.003992,,,WD,0.476,PH,82.2,2,2.7688,0.212216,0.428937,0.306935,5520,5896,0.92,0.43,0.92,0.65,0.706,0.458,0,,6.586,0
BL Vul,2013ApJS..209...13Q,W,0,0.25182528,-0.008208,10.8,,WD,0.966,PH,76.25,1.908,3.645314,0.093809,0.36526,0.359527,4474,4600,0.75,0.72,,,,,0,,,1
BM UMa,2010OAP....23..148V,W,1,0.271226,,,,WD,0.538,PH,86.81,,2.913179,0.109342,0.413883,0.311413,4510,4700,,,,,,,0,,,0
BN Ari,2018AcA....68..159A,W,1,0.299376,0.046829,7.44,,PHOEBE,0.392,SP,83.52,2.14,2.630775,0.125475,0.440064,0.286783,5170,5278,1.054,0.413,0.988,0.645,0.69,0.268,0,123,7.562,1
BO Ari,2015NewA...39....9G,A,1,0.3181938,-0.024313,,,WD,0.19,SP,81.9,2.076,2.14768,0.493753,0.505532,0.246216,5940,5908,0.995,0.189,1.09,0.515,1.325,0.29,0,88.89,7.755,0
BO CVn,2012NewA...17..673Z,W,1,0.5174629,0.015811,,,WD,0.34,SP,89.4,3.14,2.3796,0.82537,0.482309,0.310613,6980,7191,1.16,0.39,1.62,1,5.53,2.38,1,,1.612,0
BP Vel,1996PASP..108..332L,W,0,0.265092,,,,WD,0.53,PH,82.08,,2.883678,0.156659,0.417595,0.312789,4717,5000,,,,,,,0,,,1
BQ Ari,2020arXiv200600528P,A,0,0.282335413,,4.6,,WD,0.91,PH,83.67,2.26,3.431,0.340949,0.387236,0.371635,5850,5659,1.08,0.98,0.93,0.9,0.91,0.748,0,146.24,,1
BS Cas,2010RAA....10..569H,W,1,0.44047629,,,,WD,0.368,PH,83.16,,2.549544,0.275094,0.451603,0.288986,6060,6250,,,,,,,0,,,0
BU Vel,1979MNRAS.189..907T,A,1,0.60569079,,,,WD,0.251,PH,84.94,,2.258699,0.61,0.491772,0.272976,7500,7500,,,,,,,0,,,0
BV Dra,1986AJ.....92..666K,W,0,0.35006689,0.002506,23.8,2009AJ....137..236Y,WD,0.411,SP,76.28,1.654,2.645,0.221703,0.440741,0.295373,6245,6345,1.04,0.43,1.12,0.76,1.713,0.841,0,,3.733,0
BV Eri,2011MNRAS.412.1787D,A,1,0.507655,-0.023846,,2002MNRAS.336.1247Q,WD,0.3,SP,74.5,2.99,2.406,0.321969,0.468529,0.27479,6881,5737,1.068,0.32,1.507,0.891,4.561,0.77,0,,4.667,0
BW Dra,1986AJ.....92..666K,W,0,0.2921671,,,,WD,0.28,SP,74.42,1.364,2.397,0.140307,0.466579,0.261781,5980,6164,0.92,0.26,0.98,0.55,1.103,0.392,0,,5.251,0
BX And,2010AcA....60..305S,A,0,0.6101124,,,,WD,0.455,SP,75.86,4.424,2.776,0.04485,0.424244,0.294638,6650,4758,2.148,0.977,2.01,1.4,7.08,0.9,0,,,1
BX Dra,2013PASJ...65....1P,A,1,0.57902479,0.048816,30.2,,WD,0.288,SP,81.8,4.058,2.3308,0.604006,0.482756,0.284325,6980,6758,2.08,0.6,2.13,1.28,9.66,3.05,0,,2.323,1
BX Peg,2015NewA...41...17L,W,1,0.280422,-0.017885,57.8,,WD,0.376,SP,87,2.017,2.588271,0.175006,0.445462,0.285935,5300,5887,1.02,0.38,0.966,0.623,0.658,0.324,0,,7.751,1
CC Com,2011AN....332..626K,W,1,0.22068516,-0.001158,,,PHOEBE,0.526,SP,89.8,1.584,2.877368,0.155827,0.418098,0.312176,4200,4300,0.717,0.377,0.708,0.53,0.138,0.085,0,64,10.974,1
CE Leo,2013NewA...19...27Y,W,1,0.30342695,0.014083,39.7,,WD,0.533,PH,86.6,2.15,2.889,0.157322,0.417173,0.313301,4962,5293,0.94,0.5,,,,,0,,,0
